S1_over_S0,S2_over_S0,S3_over_S0,S0_over_S0
1,-2.95785601547673e-16,1.03722021693496e-16,1
1,-6.28326120394118e-16,2.23515822205888e-16,1
1,-1.33473187719967e-15,4.81487844324751e-16,1
1,-2.83533381685824e-15,1.03682977876736e-15,1
1,-6.02304374800235e-15,2.23192558146343e-15,1
1,-1.27946937889967e-14,4.80293643291109e-15,1
1,-2.71797985605014e-14,1.03322134016684e-14,1
1,-5.77384902661125e-14,2.22199758516003e-14,1
1,-1.2265573436548e-13,4.7770694259166e-14,1
1,-2.60563703556858e-13,1.02671792408395e-13,1
1,-5.53533600887571e-13,2.20605344300252e-13,1
1,-1.17592180509524e-12,4.73870533527969e-13,1
1,-2.49814506357388e-12,1.01761967241324e-12,1
1,-5.30715760340641e-12,2.18472393579855e-12,1
1,-1.12748766166974e-11,4.689169592143e-12,1
1,-2.3953415562954e-11,1.00620504498682e-11,1
1,-5.08896294540368e-11,2.15859398081318e-11,1
1,-1.0811791508972e-10,4.62969063270494e-11,1
1,-2.29706302095845e-10,9.92731992561585e-11,1
1,-4.88039943282451e-10,2.12820513828578e-10,1
1,-1.03692027094496e-09,4.5614052520805e-10,1
1,-2.20314572816927e-09,9.77439099929358e-10,1
1,-4.68111453062674e-09,2.09405805114332e-09,1
1,-9.94635153561757e-09,4.4853638093414e-09,1
1,-2.11342648229603e-08,9.60546695982373e-09,1
0.999999999999999,-4.49075736118003e-08,2.056614811556e-08,1
0.999999999999994,-9.54248392197087e-08,4.40253527102338e-08,1
0.999999999999975,-2.02774329795823e-07,9.42257928198233e-08,1
0.999999999999887,-4.30898009801536e-07,2.01630124929317e-07,1
0.999999999999488,-9.15685328939878e-07,4.31381208311076e-07,1
0.999999999997681,-1.94593599030803e-06,9.22759799572647e-07,1
0.999999999989502,-4.13543917914356e-06,1.97350913799991e-06,1
0.999999999952475,-8.7887230369246e-06,4.22001486384653e-06,1
0.999999999784857,-1.86784668617641e-05,9.02224166442704e-06,1
0.999999999026061,-3.96979635349106e-05,1.92859831569742e-05,0.999999999999999
0.999999995591039,-8.43736867099615e-05,4.12189690355777e-05,1
0.999999980040893,-0.000179332024638549,8.8080868804673e-05,1
0.999999909646259,-0.00038117194157673,0.000188189863894385,1
0.999999590973633,-0.000810207807169043,0.000402014770736509,1
0.999998148360556,-0.00172220313233262,0.000858656991759836,1
0.999991617749517,-0.00366086846565158,0.0018337046600076,1
0.99996205452087,-0.00778201349097175,0.003915326860931,1
0.999828234078431,-0.0165420943454283,0.00835831647364181,1
0.99922265878681,-0.0351560461374115,0.0178362156020123,1
0.996485826680906,-0.0746379707702943,0.038015398766343,1
0.984189460180604,-0.157704942727149,0.0806241744691905,1
0.930367750621011,-0.326200636848108,0.167358875248038,1
0.719251862916579,-0.617704846273263,0.317989749176849,1
0.149928537526622,-0.878462916702386,0.453678672205192,1
-0.539860601839442,-0.747424870029023,0.387177729529544,1
-0.87615750093424,-0.427747993015831,0.222215409068756,1
-0.971256754050218,-0.211110079519387,0.109967504459968,1
-0.993578772987951,-0.10029076100196,0.0523735154959479,1
-0.998578006744449,-0.047230784509738,0.0247228121555509,1
-0.999685710560646,-0.0222002167688596,0.0116460498140386,1
-0.999930565649353,-0.0104307802064977,0.00548294669397498,1
-0.999984661695908,-0.00490060870688045,0.00258077647672105,1
-0.999996611785007,-0.00230244505892252,0.00121456381350956,1
-0.99999925155075,-0.00108178697623743,0.000571519796154658,1
-0.99999983466945,-0.000508287104503773,0.000268896434732705,1
-0.999999963478924,-0.000238831560254331,0.00012649757833236,1
-0.999999991932596,-0.000112225036099821,5.95008344700287e-05,1
-0.999999998217934,-5.2735524551348e-05,2.79838695315507e-05,1
-0.999999999606347,-2.47817692650242e-05,1.31594122002928e-05,1
-0.999999999913043,-1.16460031610631e-05,6.18741638704609e-06,1
-0.999999999980792,-5.4731465725917e-06,2.90888406436888e-06,1
-0.999999999995757,-2.57224807990783e-06,1.36737538935641e-06,1
-0.999999999999063,-1.20893856444704e-06,6.42677973584445e-07,1
-0.999999999999793,-5.68213071037118e-07,3.02025344170141e-07,1
-0.999999999999954,-2.67075352705094e-07,1.41918056099612e-07,1
-0.99999999999999,-1.25537070461661e-07,6.66770173225014e-08,1
-0.999999999999998,-5.901001643627e-08,3.1322674845573e-08,1
-1,-2.77392694322572e-08,1.47124697681421e-08,1
-1,-1.3040066390662e-08,6.90965328821991e-09,1
-1,-6.13027619395602e-09,3.24467124324696e-09,1
-1,-2.88201133112828e-09,1.52345183021165e-09,1
-1,-1.35496060759926e-09,7.1520430677538e-10,1
-1,-6.37049134184094e-10,3.35718007725157e-10,1
-1,-2.99525905801616e-10,1.57565815510062e-10,1
-1,-1.40835119792565e-10,7.39421221983438e-11,1
-1,-6.62220424376639e-11,3.46947715901993e-11,1
-1,-3.11393184825063e-11,1.62771364312613e-11,1
-1,-1.46430133473688e-11,7.63542877507483e-12,1
-1,-6.88599214534331e-12,3.58121081988123e-12,1
-1,-3.23830072545401e-12,1.67944938675396e-12,1
-1,-1.52293824437676e-12,7.87488169435351e-13,1
-1,-7.1624521762891e-13,3.69199173263908e-13,1
-1,-3.36864589750331e-13,1.7306785457409e-13,1
-1,-1.5843933918687e-13,8.11167455814439e-14,1
-1,-7.45220101179796e-14,3.80138992572855e-14,1
-1,-3.50525657697872e-14,1.78119493467451e-14,1
-1,-1.64880238677711e-14,8.34481888611758e-15,1
-1,-7.7558743834979e-15,3.90893162425399e-15,1
-1,-3.6484307290525e-15,1.83077152948662e-15,1
-1,-1.71630485408184e-15,8.57322707767293e-16,1
-1,-8.07412642177965e-16,4.01409591376546e-16,1
-1,-3.79847473813836e-16,1.87915889111362e-16,1
-1,-1.78704426593023e-16,8.79570496539661e-17,1
-1,-8.40762880980191e-17,4.11631122329032e-17,1
-1,-3.95570298392322e-17,1.92608350480172e-17,1
