S1_over_S0,S2_over_S0,S3_over_S0
-9.5153534787673e-18,1,4.84798718599957e-18
-4.22164156750058e-17,0.848987967375344,-0.443814092482009
2.01297496174727e-17,0.480855499409217,-0.69151536161173
2.93480279385462e-17,0.0857276314212121,-0.674187584114523
1.7327873437781e-17,-0.17450575571494,-0.4720497476909
1.10034672755231e-16,-0.253302391137991,-0.229837725470932
-5.27941652727039e-17,-0.206276960739256,-0.0544249373084776
-1.16096023515105e-16,-0.119181564791036,0.0266295028151997
-9.46889773834742e-17,-0.0492216535383074,0.0411499870395839
-5.61014245567341e-17,-0.012030978606162,0.028498066255675
1.64036282310946e-16,0.0010102307955935,0.0136510280422771
1.22923667954874e-16,0.00288365302714462,0.00475277610230417
1.34434662806952e-17,0.0017599730022871,0.00109362906247451
-4.24987766689519e-17,0.000706045618387625,6.28484368855407e-05
-7.15784699164275e-17,0.000207002144008216,-8.17270485728958e-05
-8.07166763501011e-17,4.28886350793707e-05,-4.76785838581591e-05
-1.6719422609891e-16,4.57511376034016e-06,-1.63320634418839e-05
-3.28417021771491e-17,-7.50562312987111e-07,-4.04803274287074e-06
-3.05276244697432e-17,-5.4529464045318e-07,-7.37545153105659e-07
-1.01665571478355e-16,-1.66000918195807e-07,-8.73061730401541e-08
-7.24511832793841e-17,-3.51768420980649e-08,-1.32793098096403e-09
-8.30784334517654e-17,-5.57347500842932e-09,2.38940999387795e-09
1.50498274755624e-17,-6.37218466972914e-10,7.16444580910411e-10
2.1529501812477e-17,-4.00800151949834e-11,1.33256286935524e-10
-4.56289238417615e-17,2.55623738787975e-12,1.83597315983948e-11
6.50431670070534e-17,1.21241157091317e-12,1.91504637197615e-12
-9.49506563196869e-17,2.12092878703639e-13,1.40467487841719e-13
1.0034854654998e-16,2.58375620636057e-14,4.39155663239236e-15
1.04810755082271e-16,2.40548851015027e-15,-5.96949356573607e-16
1.23898347604878e-16,1.71320795931351e-16,-1.30148662254777e-16
-6.48273641296762e-17,8.51999432292323e-18,-1.48776076637272e-17
-1.31547994275905e-16,1.55850521676734e-19,-1.24439352864398e-18
1.65945585995686e-16,-2.20691389534165e-20,-8.1271347056755e-20
1.22424127158124e-16,-3.13750290536115e-21,-4.13595839352416e-21
1.52929357841156e-16,-2.51356459825127e-22,-1.52077475918832e-22
1.72267947265456e-16,-1.50355750825697e-23,-2.62263422612885e-24
-1.59243674504054e-17,-7.14535433169786e-25,1.39084212477129e-25
4.84402322793177e-17,-2.71652562116711e-26,1.66745767848074e-26
2.81009361686474e-17,-7.94560056905856e-28,1.00528023571152e-27
-2.54473774725472e-17,-1.50768148573283e-29,4.48254935120325e-29
-8.40071364127849e-17,2.03823929868062e-32,1.60245622957735e-30
7.57248835867773e-17,1.67450473488925e-32,4.69644559187699e-32
1.43845950267116e-17,8.78544256953782e-34,1.12110045790128e-33
2.20594687247113e-16,3.10079234931308e-35,2.08372205460917e-35
1.606688908107e-16,8.63390343857697e-37,2.53149928319344e-37
6.13495807877485e-17,1.98953031420053e-38,-2.61168810152762e-40
6.47654140154573e-17,3.85612636361242e-40,-1.20613823052019e-40
2.21779151476077e-16,6.2825422411371e-42,-4.15809327778578e-42
-7.21904177236994e-18,8.4412456884186e-44,-9.75532834723007e-44
3.04710472415047e-17,8.81143187085042e-46,-1.82714724914975e-45
4.18576536701798e-17,5.65982891124497e-48,-2.87404848097681e-47
7.38432291769552e-17,-1.9892284878939e-50,-3.87951836324835e-49
2.43614944682291e-16,-1.34146190092469e-51,-4.53697922112631e-51
1.27251361640243e-16,-2.60250940374275e-53,-4.60787047817759e-53
1.53116788822167e-16,-3.62954654120926e-55,-4.04760098778459e-55
8.21249029304273e-17,-4.13619349241645e-57,-3.03417835679907e-57
-8.93967467964811e-18,-4.02950135919486e-59,-1.87811291357876e-59
8.18621462940552e-17,-3.42912968273869e-61,-8.74649776954163e-62
6.07915611381609e-17,-2.5805795126854e-63,-1.90898777323022e-64
5.88762667000717e-17,-1.73074484936466e-65,1.58563427001387e-66
-8.15017686681609e-17,-1.04011243039948e-67,2.60805599346363e-68
5.82447364214842e-17,-5.62371481032747e-70,2.30469954822878e-70
8.400162955032e-17,-2.74470720362479e-72,1.57500305207853e-72
-1.0350937681543e-16,-1.2127436549534e-74,9.05858276975441e-75
3.15472298203792e-17,-4.86495161658102e-77,4.53696692920258e-77
-3.51484462111191e-17,-1.7772294527207e-79,2.01379771386745e-79
-1.29873492148577e-16,-5.93310399768037e-82,8.00455273541562e-82
5.75197435322643e-17,-1.81771382469514e-84,2.86869316481541e-84
1.00032054751844e-16,-5.13702510238756e-87,9.31336723394325e-87
-2.11484662635995e-17,-1.34743322667767e-89,2.74835993210045e-89
-2.5279991206594e-17,-3.30285695644039e-92,7.38990909132922e-92
2.56288471303502e-17,-7.61761051068855e-95,1.81355379074572e-94
3.00898630415432e-17,-1.66227481883195e-97,4.06622199649947e-97
-2.82955987715503e-17,-3.44204248371384e-100,8.33292789521592e-100
-7.14112188394874e-17,-6.759821393805e-103,1.56048189443722e-102
-3.27023767894351e-17,-1.25429174664626e-105,2.66807681146438e-105
1.26220299651756e-16,-2.18551518820678e-108,4.15833755017819e-108
9.19322423745996e-17,-3.55093801825382e-111,5.8930571284121e-111
2.81105488863324e-16,-5.34290631202354e-114,7.56617591558066e-114
5.38097034225653e-16,-7.3993230819206e-117,8.75437084227491e-117
5.21634384478706e-17,-9.38213295976987e-120,9.05623172933503e-120
-4.47037037221449e-16,-1.08426313042559e-122,8.2714716422451e-123
-5.3170235842171e-16,-1.13737766192642e-125,6.5240724419612e-126
-2.99407278027255e-16,-1.0785832528308e-128,4.24374110924024e-129
3.07552628414718e-17,-9.20598544944292e-132,1.99783170675004e-132
5.15015497948135e-16,-7.03485948482061e-135,2.61502418390903e-136
6.79478945533411e-16,-4.77933822207822e-138,-7.46610127359367e-139
3.17184122973307e-16,-2.8575214277825e-141,-1.08483749716027e-141
-2.90044750284128e-16,-1.47907575046424e-144,-9.83134440851989e-145
-6.67353448754322e-16,-6.42892067014075e-148,-6.9810331418819e-148
-6.33423205477636e-16,-2.18693541322023e-151,-4.11938287319583e-151
-4.64026446232616e-16,-4.5054517292517e-155,-2.05931073745423e-154
-3.20444924779941e-17,6.47151858913923e-159,-8.73954963305631e-158
4.0479199913824e-16,1.2430751648863e-161,-3.11191276859685e-161
4.56465005237677e-16,7.62164359409388e-165,-8.9909187844503e-165
3.46278358636725e-16,3.29561520494313e-168,-1.91919868078128e-168
-3.48748838629278e-17,1.11887544821652e-171,-1.91707318755919e-172
-1.08427672496585e-16,3.04319584478536e-175,6.34284852091451e-176
-6.88362468527426e-17,6.47116292652049e-179,4.41167032036964e-179
-3.91762727403174e-18,9.66930548372013e-183,1.53658862177672e-182
2.19144212384462e-16,5.12902371829234e-187,3.83824568962067e-186
3.06056120434378e-16,-2.34899296087338e-190,7.22810572637643e-190
1.32868104697659e-16,-9.65067160087341e-194,9.76165416909173e-194
1.65166132371521e-16,-2.17483353428058e-197,6.89620858237771e-198
1.6372916093088e-17,-3.42339031092288e-201,-6.78829906034058e-202
5.40616123951149e-17,-3.70210718411924e-205,-3.23068750914757e-205
6.59665218916735e-17,-1.95707661756863e-209,-6.05893181294163e-209
2.08055589498936e-16,1.86218903743049e-213,-7.36281517635922e-213
1.79570665805409e-16,6.13846975925785e-217,-5.64403943309297e-217
6.98501875820185e-17,8.34120886008563e-221,-1.21129019210436e-221
-1.33604750922379e-16,6.97553806827147e-225,3.58601772855054e-225
-2.50793621747584e-16,2.9644871334713e-229,6.03039339695367e-229
-2.18470081106124e-16,-1.06506176787443e-233,5.19252804069984e-233
-3.58449569819669e-18,-2.97190890316196e-237,2.44757584568543e-237
1.47075612391689e-16,-2.57490502120784e-241,-2.8575845064276e-243
3.02714829060508e-16,-1.17995768456401e-245,-1.05984641271351e-245
1.51546673980608e-16,-8.7483148023429e-251,-8.95407609398521e-250
1.69858588213958e-16,2.90104322175383e-254,-3.69798876159326e-254
1.27184818387278e-16,2.24488089092266e-258,-2.74736427228346e-259
7.63346075964664e-16,7.77301968030965e-263,6.32955871757085e-263
1.05490088448397e-15,2.48178720366479e-268,4.08517952817353e-267
1.27110893044046e-15,-1.09106425037091e-271,1.08592113505614e-271
1.06381833714293e-15,-5.31384425118831e-276,-4.65024157039198e-277
5.24203173640643e-16,-9.49058730914258e-281,-1.41401108875817e-280
1.1918730775594e-16,1.59245044734014e-285,-4.74973339837036e-285
-2.68686967955677e-17,1.29305639058061e-289,-4.14606490402469e-290
1.34792212046457e-16,2.70162354521703e-294,2.0508367518364e-294
2.6896717577999e-16,-4.74801892553883e-300,7.79352464676168e-299
1.28789130544181e-16,-1.44999086681491e-303,8.01001982267507e-304
-1.7080349762575e-16,-2.80521694936707e-308,-1.61973755063591e-308
-2.51948485657283e-16,2.58766130535506e-315,-5.83854570826221e-313
-9.99499522194194e-17,8.55336327393283e-318,-4.57708837160727e-318
-9.61669063017096e-17,1.23516411460312e-322,8.39911597930119e-323
1.98594781985274e-17,-0,0
2.60606426541811e-16,-0,0
8.54331925453307e-18,-0,-0
1.08392636936718e-17,0,-0
-1.22514764600105e-16,0,0
-2.54751465542069e-16,0,0
-1.75185418519443e-16,0,0
9.98818429102576e-17,0,0
5.8905015547635e-16,0,0
4.81270841708877e-16,0,0
3.25652465636923e-16,0,0
-1.51849869844448e-16,0,0
-3.86848707950299e-16,0,0
-3.47014064852003e-16,0,0
-1.04777360991191e-17,0,0
4.57441603543539e-16,0,0
5.96458330246136e-16,0,0
3.44199583170963e-16,0,0
-1.14446678641318e-16,0,0
-3.68646062229198e-16,0,0
-6.54953386011903e-16,0,0
-2.51803237166536e-16,0,0
1.35807233427948e-16,0,0
4.2277894761796e-16,0,0
5.29036334649146e-16,0,0
5.46107783755031e-18,0,0
-3.77702792668387e-16,0,0
-5.05748553556771e-16,0,0
-2.85173724974606e-16,0,0
3.39626924909536e-17,0,0
3.3144130759638e-16,0,0
5.68736220467548e-16,0,0
2.60224355064451e-16,0,0
-2.79386323825237e-16,0,0
-2.93851424167918e-16,0,0
-2.69274971295938e-16,0,0
4.43979247531465e-16,0,0
6.78028342893174e-16,0,0
6.29443294912028e-16,0,0
4.00529747785334e-17,0,0
-4.81470971005236e-16,0,0
-4.78639779779587e-16,0,0
-5.28063481818152e-16,0,0
1.4811933832871e-16,0,0
8.03301539026808e-16,0,0
8.02063314555561e-16,0,0
2.27511428602837e-16,0,0
-2.27761324381243e-16,0,0
-2.51771605725079e-16,0,0
1.10348112255602e-16,0,0
5.05267900393378e-16,0,0
5.92021924055927e-16,0,0
1.50497567250723e-16,0,0
-2.38523430046291e-16,0,0
-4.33836819702665e-16,0,0
-4.12513371489431e-16,0,0
-1.35174964656059e-17,0,0
2.92933038708938e-16,0,0
4.64746026788968e-16,0,0
3.36827614973826e-16,0,0
-4.30165286582791e-17,0,0
-2.17277269627377e-16,0,0
-4.57392719347749e-16,0,0
-2.20575708789979e-16,0,0
4.03365903238213e-16,0,0
4.7108194305513e-16,0,0
6.01749342228798e-16,0,0
